Pseudom_aeru_B136_33_GCF_000359505_1_WP_003132922																																																																																																																																																																																																																																																																																																																																																																																														
Pseudom_aeru_C_NN2_GCF_900185255_1_WP_003120443	0.1993495351																																																																																																																																																																																																																																																																																																																																																																																													
Pseudom_aeru_DHS01_GCF_000496455_2_WP_023131519	0.1598529960	0.4019621794																																																																																																																																																																																																																																																																																																																																																																																												
Pseudom_aeru_DK1_GCF_900069025_1_WP_003114263	0.3195633865	0.4012121989	NA																																																																																																																																																																																																																																																																																																																																																																																											
Pseudom_aeru_DK2_GCF_000271365_1_WP_003117758	0.3994903148	0.8024974686	NA	NA																																																																																																																																																																																																																																																																																																																																																																																										
Pseudom_aeru_DSM_50071_NBRC_12689_GCF_001045685_1_WP_003114263	0.2658230585	0.2002488305	0.8039982730	0.0000000000	0.4007126575																																																																																																																																																																																																																																																																																																																																																																																									
Pseudom_aeru_GCF_000763245_3_WP_003120443	0.1490653470	0.0000000000	0.1335938026	0.1333439736	0.2667118860	0.0998288865																																																																																																																																																																																																																																																																																																																																																																																								
Pseudom_aeru_GCF_000816985_1_WP_003106485	0.0568441721	0.1136982819	0.0664796975	0.1993495351	0.2658230585	0.1705624033	0.1137696083																																																																																																																																																																																																																																																																																																																																																																																							
Pseudom_aeru_GCF_000829255_1_WP_023098686	0.3003839942	0.1328462919	0.2400261496	0.2395760056	0.3194633428	0.1992870746	0.0993370293	0.1599029883																																																																																																																																																																																																																																																																																																																																																																																						
Pseudom_aeru_GCF_000829275_1_WP_023098686	0.3003839942	0.1328462919	0.2400261496	0.2395760056	0.3194633428	0.1992870746	0.0993370293	0.1599029883	NA																																																																																																																																																																																																																																																																																																																																																																																					
Pseudom_aeru_GCF_000829885_1_WP_003114263	0.2275794244	0.1333439736	0.4015340196	0.0000000000	0.2001239863	0.0000000000	0.1334272203	0.1994744895	0.1706159235	0.1706159235																																																																																																																																																																																																																																																																																																																																																																																				
Pseudom_aeru_GCF_000981825_1_WP_003114263	0.2275794244	0.1333439736	0.4015340196	0.0000000000	0.2001239863	0.0000000000	0.1334272203	0.1994744895	0.1706159235	0.1706159235	NA																																																																																																																																																																																																																																																																																																																																																																																			
