TIGR01311	TIGR01311	Ac_bau_1656_2_GCF_000188215_1_WP_000063779	758.9	758.7	glycerol_kin:_glycerol_kinase
TIGR01312	TIGR01312	Ac_bau_1656_2_GCF_000188215_1_WP_000063779	233.7	233.5	XylB:_xylulokinase
TIGR01314	TIGR01314	Ac_bau_1656_2_GCF_000188215_1_WP_000063779	146.8	146.3	gntK_FGGY:_gluconate_kinase
TIGR02628	TIGR02628	Ac_bau_1656_2_GCF_000188215_1_WP_000063779	101.8	101.6	fuculo_kin_coli:_L-fuculokinase
TIGR01315	TIGR01315	Ac_bau_1656_2_GCF_000188215_1_WP_000063779	97.9	67.3	5C_CHO_kinase:_FGGY-family_pentulose_kinase
TIGR02627	TIGR02627	Ac_bau_1656_2_GCF_000188215_1_WP_000063779	60.3	40.1	rhamnulo_kin:_rhamnulokinase
TIGR01234	TIGR01234	Ac_bau_1656_2_GCF_000188215_1_WP_000063779	54.8	48.4	L-ribulokinase:_ribulokinase
TIGR01311	TIGR01311	Ac_bau_AB0057_GCF_000021245_2_WP_000063780	758.3	758.1	glycerol_kin:_glycerol_kinase
TIGR01312	TIGR01312	Ac_bau_AB0057_GCF_000021245_2_WP_000063780	234.5	234.2	XylB:_xylulokinase
TIGR01314	TIGR01314	Ac_bau_AB0057_GCF_000021245_2_WP_000063780	146.7	146.3	gntK_FGGY:_gluconate_kinase
TIGR02628	TIGR02628	Ac_bau_AB0057_GCF_000021245_2_WP_000063780	102.0	101.8	fuculo_kin_coli:_L-fuculokinase
TIGR01315	TIGR01315	Ac_bau_AB0057_GCF_000021245_2_WP_000063780	97.3	66.7	5C_CHO_kinase:_FGGY-family_pentulose_kinase
TIGR02627	TIGR02627	Ac_bau_AB0057_GCF_000021245_2_WP_000063780	60.3	40.1	rhamnulo_kin:_rhamnulokinase
TIGR01234	TIGR01234	Ac_bau_AB0057_GCF_000021245_2_WP_000063780	54.8	48.4	L-ribulokinase:_ribulokinase
TIGR01311	TIGR01311	Ac_bau_AB307_0294_GCF_002803025_2_WP_000063780	758.3	758.1	glycerol_kin:_glycerol_kinase
TIGR01312	TIGR01312	Ac_bau_AB307_0294_GCF_002803025_2_WP_000063780	234.5	234.2	XylB:_xylulokinase
TIGR01314	TIGR01314	Ac_bau_AB307_0294_GCF_002803025_2_WP_000063780	146.7	146.3	gntK_FGGY:_gluconate_kinase
TIGR02628	TIGR02628	Ac_bau_AB307_0294_GCF_002803025_2_WP_000063780	102.0	101.8	fuculo_kin_coli:_L-fuculokinase
TIGR01315	TIGR01315	Ac_bau_AB307_0294_GCF_002803025_2_WP_000063780	97.3	66.7	5C_CHO_kinase:_FGGY-family_pentulose_kinase
TIGR02627	TIGR02627	Ac_bau_AB307_0294_GCF_002803025_2_WP_000063780	60.3	40.1	rhamnulo_kin:_rhamnulokinase
TIGR01234	TIGR01234	Ac_bau_AB307_0294_GCF_002803025_2_WP_000063780	54.8	48.4	L-ribulokinase:_ribulokinase
TIGR01311	TIGR01311	Ac_bau_ACICU_GCF_000018445_1_WP_000063779	758.9	758.7	glycerol_kin:_glycerol_kinase
TIGR01312	TIGR01312	Ac_bau_ACICU_GCF_000018445_1_WP_000063779	233.7	233.5	XylB:_xylulokinase
TIGR01314	TIGR01314	Ac_bau_ACICU_GCF_000018445_1_WP_000063779	146.8	146.3	gntK_FGGY:_gluconate_kinase
TIGR02628	TIGR02628	Ac_bau_ACICU_GCF_000018445_1_WP_000063779	101.8	101.6	fuculo_kin_coli:_L-fuculokinase
TIGR01315	TIGR01315	Ac_bau_ACICU_GCF_000018445_1_WP_000063779	97.9	67.3	5C_CHO_kinase:_FGGY-family_pentulose_kinase
TIGR02627	TIGR02627	Ac_bau_ACICU_GCF_000018445_1_WP_000063779	60.3	40.1	rhamnulo_kin:_rhamnulokinase
TIGR01234	TIGR01234	Ac_bau_ACICU_GCF_000018445_1_WP_000063779	54.8	48.4	L-ribulokinase:_ribulokinase
TIGR01311	TIGR01311	Ac_bau_ACICU_GCF_005519135_2_WP_000063779	758.9	758.7	glycerol_kin:_glycerol_kinase
TIGR01312	TIGR01312	Ac_bau_ACICU_GCF_005519135_2_WP_000063779	233.7	233.5	XylB:_xylulokinase
TIGR01314	TIGR01314	Ac_bau_ACICU_GCF_005519135_2_WP_000063779	146.8	146.3	gntK_FGGY:_gluconate_kinase
TIGR02628	TIGR02628	Ac_bau_ACICU_GCF_005519135_2_WP_000063779	101.8	101.6	fuculo_kin_coli:_L-fuculokinase
TIGR01315	TIGR01315	Ac_bau_ACICU_GCF_005519135_2_WP_000063779	97.9	67.3	5C_CHO_kinase:_FGGY-family_pentulose_kinase
TIGR02627	TIGR02627	Ac_bau_ACICU_GCF_005519135_2_WP_000063779	60.3	40.1	rhamnulo_kin:_rhamnulokinase
TIGR01234	TIGR01234	Ac_bau_ACICU_GCF_005519135_2_WP_000063779	54.8	48.4	L-ribulokinase:_ribulokinase
TIGR01311	TIGR01311	Ac_bau_ATCC_17978_GCF_004797155_2_WP_000063783	757.4	757.2	glycerol_kin:_glycerol_kinase
TIGR01312	TIGR01312	Ac_bau_ATCC_17978_GCF_004797155_2_WP_000063783	234.3	234.1	XylB:_xylulokinase
TIGR01314	TIGR01314	Ac_bau_ATCC_17978_GCF_004797155_2_WP_000063783	146.4	146.0	gntK_FGGY:_gluconate_kinase
TIGR02628	TIGR02628	Ac_bau_ATCC_17978_GCF_004797155_2_WP_000063783	102.0	101.8	fuculo_kin_coli:_L-fuculokinase
TIGR01315	TIGR01315	Ac_bau_ATCC_17978_GCF_004797155_2_WP_000063783	97.8	67.2	5C_CHO_kinase:_FGGY-family_pentulose_kinase
TIGR02627	TIGR02627	Ac_bau_ATCC_17978_GCF_004797155_2_WP_000063783	60.3	40.1	rhamnulo_kin:_rhamnulokinase
TIGR01234	TIGR01234	Ac_bau_ATCC_17978_GCF_004797155_2_WP_000063783	54.2	47.8	L-ribulokinase:_ribulokinase
TIGR01311	TIGR01311	Ac_bau_ATCC_17978_GCF_013372085_1_WP_000063783	757.4	757.2	glycerol_kin:_glycerol_kinase
TIGR01312	TIGR01312	Ac_bau_ATCC_17978_GCF_013372085_1_WP_000063783	234.3	234.1	XylB:_xylulokinase
TIGR01314	TIGR01314	Ac_bau_ATCC_17978_GCF_013372085_1_WP_000063783	146.4	146.0	gntK_FGGY:_gluconate_kinase
TIGR02628	TIGR02628	Ac_bau_ATCC_17978_GCF_013372085_1_WP_000063783	102.0	101.8	fuculo_kin_coli:_L-fuculokinase
